score,word
1.75225529281,00
2.11530716724,000
2.81182703228,01
2.96485221958,02
3.11769142381,03
2.99685495067,04
2.82543268433,05
3.07284085765,06
3.07284085765,07
2.94922690168,08
2.92623738346,09
1.1206845921,10
1.43401448621,100
2.25221124434,1000
1.31983437472,11
1.29580919513,12
1.43231235814,13
1.48827101179,14
2.73386549081,140
1.22424791366,15
2.73386549081,150
4.02484967212,155
1.48827101179,16
1.4460112025,17
1.3507010227,18
1.57266971584,19
2.73386549081,1er
1.20103868075,20
2.09530650053,200
2.87456537291,2000
2.73386549081,2010
2.66737574954,2011
2.47150122634,2012
2.41996757623,2013
2.22554299726,2014
2.04698792326,2015
1.91463647178,2016
1.59243320496,2017
1.70424607363,2018
3.11769142381,2020
1.64572450201,21
1.63317203594,22
1.75459995977,23
1.5323958167,24
3.69816544187,24h
1.55713542288,25
2.05013753217,26
2.07569802915,27
2.03759818291,28
3.02154756326,280
2.11530716724,29
2.88905838021,2da
2.83922600647,2do
1.23675676335,30
2.21805232553,300
1.97422856898,31
2.52077227535,32
2.4291419525,33
2.65574771155,34
2.15304749522,35
2.64425333212,36
2.64425333212,37
2.64425333212,38
2.8050930001,39
3.26574452377,3d
2.98875774044,3er
3.30922963571,3g
1.54373809331,40
2.58329263233,400
3.02991581293,41
2.85321224844,42
2.77208670363,43
2.74013510382,44
1.98303919866,45
2.98072556874,46
2.88178562089,47
2.70309383214,48
1.51009005919,50
2.06924639386,500
3.03835468158,51
3.06410717768,54
2.75918329879,55
3.11769142381,57
2.89638442031,5to
2.15655012577,60
2.86739688343,600
7.80903930604,619272631
3.07284085765,6to
2.23688527387,70
2.98072556874,700
2.83230556362,75
1.92850631964,80
2.83230556362,800
2.08219155846,90
7.80903930604,914366800
2.83922600647,99
3.1939187892,aa
3.13621047158,aaa
3.23432832754,aaaa
3.43959145358,aaah
1.58646303797,abajo
2.9037645276,abandona
3.69816544187,abc
3.30922963571,abel
2.18863844033,abierta
2.98072556874,abiertas
2.25607972112,abierto
2.97275739909,abiertos
3.1646484069,abogado
2.91869017782,abra
2.81182703228,abrazar
1.50459050362,abrazo
2.24835767503,abrazos
2.0628361155,abre
2.09530650053,abril
1.83777746625,abrir
2.56729229098,absolutamente
1.66915475382,abuela
2.00089681606,abuelo
2.556765878,abuelos
2.51573448132,aburre
2.11867985172,aburrida
1.94257124911,aburrido
2.20323723975,aburrimiento
1.97130885888,aburro
1.608530132,aca
1.59043918635,acaba
2.36230193438,acaban
2.81182703228,acabar
1.4900711923,acabo
2.79840401195,acabó
2.46193177533,acaso
2.88178562089,acceso
2.50077160864,accidente
2.556765878,acciones
2.35371819069,acción
5.86312915699,aceptados
2.27961021853,aceptar
2.67914059112,acepto
2.29158640958,acerca
2.47150122634,acompaña
2.96485221958,acompañado
2.43840127792,acompañar
2.69705151769,acompañe
2.9037645276,acondicionado
1.83268839675,acordar
2.64998400683,acordas
2.44306329102,acordate
2.44774714033,acorde
2.75279350069,acordé
2.32424237255,acostada
